block_number,priceEconomical,priceStandard,priceFast,numberOfTxs,scoreEconomicalPlus1,scoreStandardPlus1,scoreFastPlus1,scoreEconomicalPlus2,scoreStandardPlus2,scoreFastPlus2,scoreEconomicalPlus3,scoreStandardPlus3,scoreFastPlus3,scoreEconomicalPlus4,scoreStandardPlus4,scoreFastPlus4,scoreEconomicalPlus5,scoreStandardPlus5,scoreFastPlus5,scoreEconomicalPlus6,scoreStandardPlus6,scoreFastPlus6,scoreEconomicalPlus7,scoreStandardPlus7,scoreFastPlus7,scoreEconomicalPlus8,scoreStandardPlus8,scoreFastPlus8,scoreEconomicalPlus9,scoreStandardPlus9,scoreFastPlus9,scoreEconomicalPlus10,scoreStandardPlus10,scoreFastPlus10
557952,2.690,4.711,19.493,2015,99.742,99.483,99.053,98.642,96.497,70.264,-1,-1,-1,40.607,1.811,0.407,99.676,98.598,77.886,-1,-1,-1,-1,-1,-1,65.882,47.647,35.765,94.326,79.755,58.607,99.924,99.542,87.863
557961,2.577,4.244,19.535,3171,99.924,99.542,87.863,99.679,98.557,82.117,-1,-1,-1,-1,-1,-1,10.260,4.750,2.597,96.311,79.343,48.826,96.270,90.053,56.187,82.729,23.436,13.509,-1,-1,-1,63.673,37.347,21.837
557967,2.572,4.016,19.254,2967,96.270,90.053,56.187,82.729,23.436,13.509,-1,-1,-1,63.673,37.347,21.837,50.751,32.309,16.440,52.059,32.794,18.284,2.591,2.591,2.591,99.524,98.333,55.794,91.350,68.862,31.250,78.203,17.676,10.377
557979,2.254,3.396,17.422,689,93.141,91.913,48.087,-1,-1,-1,41.731,20.844,11.370,-1,-1,-1,58.028,33.486,17.661,55.061,31.220,16.131,43.131,24.324,16.667,100.000,100.000,52.795,40.273,21.821,10.469,95.815,94.753,64.710
557994,2.000,3.028,17.483,2161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
557917,1.004,1.004,4.616,2531,99.847,99.847,98.622,99.924,99.924,99.017,97.396,97.396,61.351,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.263,72.263,33.577,99.900,99.900,99.799,100.000,100.000,99.881,100.000,100.000,99.808
557943,2.572,4.957,23.913,2369,99.879,98.006,35.166,-1,-1,-1,-1,-1,-1,92.633,76.878,47.557,99.937,99.748,99.055,-1,-1,-1,-1,-1,-1,-1,-1,-1,54.581,37.901,24.276,99.742,99.483,97.761
557986,2.138,3.040,14.066,1325,100.000,100.000,59.627,40.273,21.821,12.435,95.815,94.753,73.766,48.592,23.478,10.084,0.000,0.000,0.000,48.532,37.506,24.940,-1,-1,-1,44.247,33.728,23.734,-1,-1,-1,-1,-1,-1
557990,2.138,3.063,16.691,3301,0.000,0.000,0.000,48.532,37.506,23.736,-1,-1,-1,44.247,33.728,22.485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
557957,2.618,4.616,20.020,2018,-1,-1,-1,-1,-1,-1,65.882,47.647,32.000,94.326,79.755,51.709,99.924,99.542,81.069,99.679,98.557,77.145,-1,-1,-1,-1,-1,-1,10.260,4.750,2.533,96.311,79.343,44.467
557940,1.509,3.531,24.278,3092,99.898,99.490,11.480,-1,-1,-1,99.664,99.058,32.234,100.000,99.335,33.474,-1,-1,-1,-1,-1,-1,99.927,84.099,43.837,100.000,99.748,98.803,-1,-1,-1,-1,-1,-1
557974,2.254,3.593,18.257,210,99.524,98.333,68.889,91.350,87.779,36.384,78.203,23.784,12.214,-1,-1,-1,49.306,35.880,21.065,93.141,91.913,45.921,-1,-1,-1,41.731,20.844,10.724,-1,-1,-1,58.028,33.486,17.202
557989,2.189,3.125,17.229,3445,48.592,23.478,9.437,0.000,0.000,0.000,48.532,37.506,23.447,-1,-1,-1,44.247,33.728,22.091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
557991,2.138,3.065,16.871,2,48.532,37.506,23.736,-1,-1,-1,44.247,33.728,22.485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
557915,1.004,1.004,2.531,159,85.927,85.927,63.781,99.935,99.935,93.130,99.847,99.847,98.928,99.924,99.924,99.319,97.396,97.396,82.262,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.263,72.263,55.474,99.900,99.900,99.900
557929,1.000,1.285,19.225,2179,-1,-1,-1,-1,-1,-1,-1,-1,-1,99.602,99.602,15.805,99.918,99.918,53.859,-1,-1,-1,-1,-1,-1,99.762,99.762,49.227,-1,-1,-1,99.867,99.867,62.475
